ass_ln,stn_no,dt,shift,tgt_prod,act_prod,eff_perc,def_unit,min_threshold,max_cap,stock_avl,downtime_hrs,stn_status,shortages,part_name
Line C,2,2/15/2025,Night,88,12,13.6,2,20,199,12,4.8,Shortage Pause,81,Battery
Line C,3,2/15/2025,Night,130,123,94.6,1,47,176,123,0.1,Shortage Pause,4,Headlight Bulb
Line D,1,2/15/2025,Morning,103,94,91.3,0,47,161,94,1,Shortage Pause,23,Windshield Wiper
Line D,2,2/15/2025,Night,81,70,86.4,0,42,189,110,0,Active,0,Engine Oil Filter
Line D,3,2/15/2025,Night,92,0,0,0,36,171,0,5.9,Shortage Pause,102,Air Filter
Line A,1,2/16/2025,Night,120,112,93.3,1,21,191,186,0,Active,0,Engine Oil Filter
Line A,2,2/16/2025,Night,140,119,85,3,25,167,119,0.3,Shortage Pause,7,Air Filter
Line A,3,2/16/2025,Night,9,0,0,0,29,150,30,1.2,Paused,0,Spark Plug Set
Line B,1,2/16/2025,Night,98,87,88.8,0,40,232,184,0,Active,0,Brake Pad Set
Line B,2,2/16/2025,Night,100,17,17,0,49,208,17,2.6,Shortage Pause,89,Brake Disc
Line B,3,2/16/2025,Night,72,0,0,0,36,157,0,5,Shortage Pause,81,Shock Absorber
Line C,1,2/16/2025,Morning,138,0,0,0,28,185,0,3.2,Shortage Pause,143,Timing Belt
Line C,2,2/16/2025,Night,103,104,101,1,20,199,150,0,Active,0,Battery
Line C,3,2/16/2025,Morning,128,115,89.8,2,47,176,115,0.8,Shortage Pause,22,Headlight Bulb
Line D,1,2/16/2025,Morning,105,97,92.4,0,47,161,99,0,Active,0,Windshield Wiper
Line D,2,2/16/2025,Morning,78,40,51.3,1,42,189,40,2,Shortage Pause,43,Engine Oil Filter
Line D,3,2/16/2025,Morning,9,0,0,0,36,171,100,0.6,Paused,0,Air Filter
Line A,1,2/17/2025,Morning,128,74,57.8,3,21,191,74,1.4,Shortage Pause,55,Engine Oil Filter
Line A,2,2/17/2025,Morning,145,125,86.2,2,25,167,125,0.3,Shortage Pause,15,Air Filter
Line A,3,2/17/2025,Morning,95,30,31.6,3,29,150,30,1.9,Shortage Pause,53,Spark Plug Set
Line B,1,2/17/2025,Morning,94,89,94.7,0,40,232,97,0,Active,0,Brake Pad Set
Line B,2,2/17/2025,Morning,119,0,0,0,49,208,0,3.5,Shortage Pause,123,Brake Disc
Line B,3,2/17/2025,Night,79,0,0,0,36,157,0,4.2,Shortage Pause,79,Shock Absorber
Line C,1,2/17/2025,Night,140,134,95.7,4,28,185,156,0,Active,0,Timing Belt
Line C,2,2/17/2025,Night,112,46,41.1,2,20,199,46,1.6,Shortage Pause,62,Battery
Line C,3,2/17/2025,Night,114,110,96.5,1,47,176,110,0.2,Shortage Pause,7,Headlight Bulb
Line D,1,2/17/2025,Morning,105,77,73.3,4,47,161,77,1.4,Shortage Pause,33,Windshield Wiper
Line D,2,2/17/2025,Morning,91,0,0,0,42,189,0,2.7,Shortage Pause,86,Engine Oil Filter
Line D,3,2/17/2025,Night,93,96,103.2,0,36,171,100,0.2,Active,0,Air Filter
Line A,1,2/18/2025,Night,110,0,0,0,21,191,0,2.1,Shortage Pause,108,Engine Oil Filter
Line A,2,2/18/2025,Morning,162,120,74.1,6,25,167,120,0.6,Shortage Pause,42,Air Filter
Line A,3,2/18/2025,Morning,94,94,100,0,29,150,118,0,Active,0,Spark Plug Set
Line B,1,2/18/2025,Morning,100,103,103,0,40,232,165,0.3,Active,0,Brake Pad Set
Line B,2,2/18/2025,Night,113,0,0,0,49,208,0,4.6,Shortage Pause,111,Brake Disc
Line B,3,2/18/2025,Night,8,0,0,0,36,157,73,8,Maintenance,0,Shock Absorber
Line C,1,2/18/2025,Morning,140,141,100.7,3,28,185,163,0,Active,0,Timing Belt
Line C,2,2/18/2025,Night,87,0,0,0,20,199,0,2.6,Shortage Pause,83,Battery
Line C,3,2/18/2025,Morning,12,0,0,0,47,176,0,0.8,Paused,0,Headlight Bulb
Line D,1,2/18/2025,Night,90,94,104.4,1,47,161,99,0,Active,0,Windshield Wiper
Line D,2,2/18/2025,Night,92,92,100,0,42,189,158,0,Active,0,Engine Oil Filter
Line D,3,2/18/2025,Morning,77,81,105.2,1,36,171,119,0,Active,0,Air Filter
Line A,1,2/19/2025,Night,116,122,105.2,2,21,191,178,0,Active,0,Engine Oil Filter
Line A,2,2/19/2025,Morning,152,100,65.8,5,25,167,123,0,Active,0,Air Filter
Line A,3,2/19/2025,Morning,86,24,27.9,0,29,150,24,3.1,Shortage Pause,52,Spark Plug Set
Line B,1,2/19/2025,Night,89,62,69.7,3,40,232,62,0.6,Shortage Pause,19,Brake Pad Set
Line B,2,2/19/2025,Morning,11,0,0,0,49,208,139,8,Maintenance,0,Brake Disc
Line B,3,2/19/2025,Night,83,73,88,0,36,157,73,0.3,Shortage Pause,11,Shock Absorber
Line C,1,2/19/2025,Morning,129,153,118.6,4,28,185,154,0,Active,0,Timing Belt
Line C,2,2/19/2025,Night,104,116,111.5,1,20,199,170,0,Active,0,Battery
Line C,3,2/19/2025,Night,121,101,83.5,0,47,176,101,0.6,Shortage Pause,12,Headlight Bulb
Line D,1,2/19/2025,Morning,113,5,4.4,0,47,161,5,3.2,Shortage Pause,115,Windshield Wiper
Line D,2,2/19/2025,Morning,79,66,83.5,0,42,189,66,0.2,Shortage Pause,3,Engine Oil Filter
Line D,3,2/19/2025,Morning,66,38,57.6,0,36,171,38,0.9,Shortage Pause,17,Air Filter
Line A,1,2/20/2025,Night,118,56,47.5,1,21,191,56,2.8,Shortage Pause,57,Engine Oil Filter
Line A,2,2/20/2025,Morning,15,0,0,0,25,167,155,1.9,Paused,0,Air Filter
Line A,3,2/20/2025,Night,80,0,0,0,29,150,0,4.1,Shortage Pause,73,Spark Plug Set
Line B,1,2/20/2025,Morning,104,0,0,0,40,232,0,5.7,Shortage Pause,104,Brake Pad Set
Line B,2,2/20/2025,Morning,97,93,95.9,1,49,208,139,0,Active,0,Brake Disc
Line B,3,2/20/2025,Night,78,69,88.5,0,36,157,93,0,Active,0,Shock Absorber
Line C,1,2/20/2025,Night,139,1,0.7,0,28,185,1,5.1,Shortage Pause,161,Timing Belt
Line C,2,2/20/2025,Night,76,54,71.1,2,20,199,54,0.5,Shortage Pause,15,Battery
Line C,3,2/20/2025,Night,10,0,0,0,47,176,124,1,Paused,0,Headlight Bulb
Line D,1,2/20/2025,Night,101,88,87.1,1,47,161,88,0.3,Shortage Pause,7,Windshield Wiper
Line D,2,2/20/2025,Night,73,75,102.7,0,42,189,111,0,Active,0,Engine Oil Filter
Line D,3,2/20/2025,Morning,88,93,105.7,0,36,171,106,0,Active,0,Air Filter
Line A,1,2/21/2025,Night,130,123,94.6,0,21,191,135,0,Active,0,Engine Oil Filter
Line A,2,2/21/2025,Morning,152,155,102,3,25,167,155,0.3,Shortage Pause,12,Air Filter
Line A,3,2/21/2025,Night,103,80,77.7,2,29,150,80,0.8,Shortage Pause,20,Spark Plug Set
Line B,1,2/21/2025,Morning,99,93,93.9,1,40,232,156,0,Active,0,Brake Pad Set
Line B,2,2/21/2025,Morning,91,103,113.2,0,49,208,173,0,Active,0,Brake Disc
Line B,3,2/21/2025,Morning,87,98,112.6,0,36,157,128,0,Active,0,Shock Absorber
Line C,1,2/21/2025,Morning,13,0,0,0,28,185,104,1.3,Paused,0,Timing Belt
Line C,2,2/21/2025,Night,111,0,0,0,20,199,0,5,Shortage Pause,116,Battery
Line C,3,2/21/2025,Night,109,106,97.2,1,47,176,124,0,Active,0,Headlight Bulb
Line D,1,2/21/2025,Morning,101,78,77.2,3,47,161,78,0.6,Shortage Pause,18,Windshield Wiper
Line D,2,2/21/2025,Morning,85,84,98.8,1,42,189,168,0,Active,0,Engine Oil Filter
Line D,3,2/21/2025,Morning,86,77,89.5,1,36,171,108,0,Active,0,Air Filter
Line A,1,2/22/2025,Morning,100,90,90,3,21,191,155,0,Active,0,Engine Oil Filter
Line A,2,2/22/2025,Night,134,90,67.2,2,25,167,90,1.7,Shortage Pause,58,Air Filter
Line A,3,2/22/2025,Morning,96,95,99,0,29,150,95,0.3,Shortage Pause,9,Spark Plug Set
Line B,1,2/22/2025,Morning,92,63,68.5,0,40,232,63,1.5,Shortage Pause,34,Brake Pad Set
Line B,2,2/22/2025,Night,119,70,58.8,1,49,208,70,1.5,Shortage Pause,36,Brake Disc
Line B,3,2/22/2025,Night,81,82,101.2,0,36,157,129,0,Active,0,Shock Absorber
Line C,1,2/22/2025,Night,126,104,82.5,0,28,185,104,0.4,Shortage Pause,19,Timing Belt
Line C,2,2/22/2025,Morning,9,0,0,0,20,199,192,1.9,Paused,0,Battery
Line C,3,2/22/2025,Morning,125,95,76,5,47,176,95,0.9,Shortage Pause,20,Headlight Bulb
Line D,1,2/22/2025,Night,119,0,0,0,47,161,0,2.9,Shortage Pause,118,Windshield Wiper
Line D,2,2/22/2025,Night,88,84,95.5,1,42,189,84,0.5,Shortage Pause,11,Engine Oil Filter
Line D,3,2/22/2025,Night,70,69,98.6,0,36,171,142,0,Active,0,Air Filter
Line A,1,2/23/2025,Morning,131,65,49.6,6,21,191,65,2.7,Shortage Pause,80,Engine Oil Filter
Line A,2,2/23/2025,Morning,167,112,67.1,2,25,167,112,1.3,Shortage Pause,68,Air Filter
Line A,3,2/23/2025,Morning,83,0,0,0,29,150,0,3.9,Shortage Pause,88,Spark Plug Set
Line B,1,2/23/2025,Morning,106,113,106.6,1,40,232,195,0,Active,0,Brake Pad Set
Line B,2,2/23/2025,Night,122,114,93.4,4,49,208,140,0,Active,0,Brake Disc
Line B,3,2/23/2025,Night,7,0,0,0,36,157,47,0.6,Paused,0,Shock Absorber
Line C,1,2/23/2025,Morning,141,113,80.1,1,28,185,113,0.5,Shortage Pause,30,Timing Belt
Line C,2,2/23/2025,Morning,69,62,89.9,0,20,199,192,0,Active,0,Battery
Line C,3,2/23/2025,Morning,122,100,82,0,47,176,100,0.4,Shortage Pause,21,Headlight Bulb
Line D,1,2/23/2025,Morning,113,98,86.7,0,47,161,114,0.1,Active,0,Windshield Wiper
Line D,2,2/23/2025,Morning,7,0,0,0,42,189,93,1.8,Paused,0,Engine Oil Filter
Line D,3,2/23/2025,Night,61,58,95.1,1,36,171,73,0,Active,0,Air Filter
Line A,1,2/24/2025,Night,150,157,104.7,2,21,191,157,0.2,Shortage Pause,9,Engine Oil Filter
Line A,2,2/24/2025,Morning,149,93,62.4,4,25,167,93,1.7,Shortage Pause,47,Air Filter
Line A,3,2/24/2025,Night,99,0,0,0,29,150,0,4.7,Shortage Pause,97,Spark Plug Set
Line B,1,2/24/2025,Morning,81,70,86.4,0,40,232,82,0,Active,0,Brake Pad Set
Line B,2,2/24/2025,Morning,125,121,96.8,3,49,208,194,0,Active,0,Brake Disc
Line B,3,2/24/2025,Morning,86,47,54.7,5,36,157,47,1,Shortage Pause,35,Shock Absorber
Line C,1,2/24/2025,Night,150,140,93.3,2,28,185,140,0.6,Shortage Pause,18,Timing Belt
Line C,2,2/24/2025,Morning,95,87,91.6,1,20,199,130,0,Active,0,Battery
Line C,3,2/24/2025,Night,111,113,101.8,1,47,176,138,0.2,Active,0,Headlight Bulb
Line D,1,2/24/2025,Night,83,16,19.3,0,47,161,16,2.2,Shortage Pause,59,Windshield Wiper
Line D,2,2/24/2025,Morning,84,80,95.2,1,42,189,93,0,Active,0,Engine Oil Filter
Line D,3,2/24/2025,Morning,80,85,106.2,1,36,171,107,0,Active,0,Air Filter
Line A,1,2/25/2025,Morning,124,0,0,0,21,191,0,2.8,Shortage Pause,135,Engine Oil Filter
Line A,2,2/25/2025,Night,118,112,94.9,3,25,167,137,0,Active,0,Air Filter
Line A,3,2/25/2025,Night,89,85,95.5,2,29,150,85,0.4,Shortage Pause,6,Spark Plug Set
Line B,1,2/25/2025,Night,94,98,104.3,0,40,232,178,0,Active,0,Brake Pad Set
Line B,2,2/25/2025,Morning,105,73,69.5,6,49,208,73,0.7,Shortage Pause,16,Brake Disc
Line B,3,2/25/2025,Night,69,0,0,0,36,157,0,2.1,Shortage Pause,77,Shock Absorber
Line C,1,2/25/2025,Morning,156,95,60.9,7,28,185,95,0.9,Shortage Pause,69,Timing Belt
Line C,2,2/25/2025,Morning,86,43,50,2,20,199,43,1.5,Shortage Pause,30,Battery
Line C,3,2/25/2025,Night,129,25,19.4,0,47,176,25,3.2,Shortage Pause,95,Headlight Bulb
Line D,1,2/25/2025,Night,113,109,96.5,1,47,161,109,0.4,Shortage Pause,10,Windshield Wiper
Line D,2,2/25/2025,Morning,82,84,102.4,0,42,189,117,0,Active,0,Engine Oil Filter
Line D,3,2/25/2025,Morning,76,79,103.9,2,36,171,147,0,Active,0,Air Filter
Line A,1,2/26/2025,Night,130,107,82.3,0,21,191,107,0.6,Shortage Pause,16,Engine Oil Filter
Line A,2,2/26/2025,Night,163,25,15.3,3,25,167,25,4.3,Shortage Pause,135,Air Filter
Line A,3,2/26/2025,Morning,84,81,96.4,1,29,150,94,0,Active,0,Spark Plug Set
Line B,1,2/26/2025,Night,6,0,0,0,40,232,80,8,Maintenance,0,Brake Pad Set
Line B,2,2/26/2025,Night,100,104,104,1,49,208,113,0,Active,0,Brake Disc
Line B,3,2/26/2025,Night,84,0,0,0,36,157,0,5.6,Shortage Pause,83,Shock Absorber
Line C,1,2/26/2025,Morning,142,142,100,0,28,185,142,0.1,Shortage Pause,1,Timing Belt
Line C,2,2/26/2025,Night,90,0,0,0,20,199,0,3,Shortage Pause,85,Battery
Line C,3,2/26/2025,Morning,124,114,91.9,0,47,176,119,0,Active,0,Headlight Bulb
Line D,1,2/26/2025,Night,9,0,0,0,47,161,110,1.2,Paused,0,Windshield Wiper
Line D,2,2/26/2025,Morning,92,33,35.9,1,42,189,33,2.8,Shortage Pause,53,Engine Oil Filter
Line D,3,2/26/2025,Night,76,66,86.8,1,36,171,68,0,Active,0,Air Filter
Line A,1,2/27/2025,Morning,109,0,0,0,21,191,0,2,Shortage Pause,90,Engine Oil Filter
Line A,2,2/27/2025,Night,155,139,89.7,2,25,167,144,0,Active,0,Air Filter
Line A,3,2/27/2025,Morning,77,80,103.9,1,29,150,91,0,Active,0,Spark Plug Set
Line B,1,2/27/2025,Morning,105,80,76.2,5,40,232,80,0.7,Shortage Pause,31,Brake Pad Set
Line B,2,2/27/2025,Morning,108,9,8.3,0,49,208,9,2.4,Shortage Pause,110,Brake Disc
Line B,3,2/27/2025,Morning,81,0,0,0,36,157,0,3.8,Shortage Pause,75,Shock Absorber
Line C,1,2/27/2025,Morning,158,0,0,0,28,185,0,3.9,Shortage Pause,128,Timing Belt
Line C,2,2/27/2025,Morning,104,0,0,0,20,199,0,2,Shortage Pause,113,Battery
Line C,3,2/27/2025,Morning,104,5,4.8,0,47,176,5,2.6,Shortage Pause,90,Headlight Bulb
Line D,1,2/27/2025,Morning,107,98,91.6,2,47,161,110,0,Active,0,Windshield Wiper
Line D,2,2/27/2025,Night,92,101,109.8,1,42,189,143,0.2,Active,0,Engine Oil Filter
Line D,3,2/27/2025,Night,84,75,89.3,2,36,171,92,0.4,Active,0,Air Filter
Line A,1,2/28/2025,Morning,13,0,0,0,21,191,136,1.3,Paused,0,Engine Oil Filter
Line A,2,2/28/2025,Night,151,120,79.5,4,25,167,120,1.2,Shortage Pause,34,Air Filter
Line A,3,2/28/2025,Morning,77,82,106.5,0,29,150,134,0,Active,0,Spark Plug Set
Line B,1,2/28/2025,Morning,97,0,0,0,40,232,0,5.6,Shortage Pause,84,Brake Pad Set
Line B,2,2/28/2025,Morning,120,98,81.7,1,49,208,107,0,Active,0,Brake Disc
Line B,3,2/28/2025,Morning,81,71,87.7,0,36,157,112,0,Active,0,Shock Absorber
Line C,1,2/28/2025,Morning,139,0,0,0,28,185,0,5.4,Shortage Pause,137,Timing Belt
Line C,2,2/28/2025,Morning,86,0,0,0,20,199,0,2.8,Shortage Pause,75,Battery
Line C,3,2/28/2025,Night,111,0,0,0,47,176,0,4.8,Shortage Pause,122,Headlight Bulb
Line D,1,2/28/2025,Night,129,99,76.7,3,47,161,99,0.3,Shortage Pause,14,Windshield Wiper
Line D,2,2/28/2025,Night,80,42,52.5,3,42,189,42,1.4,Shortage Pause,30,Engine Oil Filter
Line D,3,2/28/2025,Night,7,0,0,0,36,171,114,1.1,Paused,0,Air Filter
Line A,1,3/1/2025,Morning,10,0,0,0,21,191,136,1,Paused,0,Engine Oil Filter
Line A,2,3/1/2025,Night,140,0,0,0,25,167,0,4.2,Shortage Pause,138,Air Filter
Line A,3,3/1/2025,Night,89,52,58.4,1,29,150,52,2.5,Shortage Pause,44,Spark Plug Set
Line B,1,3/1/2025,Night,97,98,101,1,40,232,172,0,Active,0,Brake Pad Set
Line B,2,3/1/2025,Night,109,110,100.9,1,49,208,112,0,Active,0,Brake Disc
Line B,3,3/1/2025,Night,60,41,68.3,1,36,157,41,1.4,Shortage Pause,13,Shock Absorber
Line C,1,3/1/2025,Morning,156,0,0,0,28,185,0,5.9,Shortage Pause,138,Timing Belt
Line C,2,3/1/2025,Night,86,0,0,0,20,199,0,2.6,Shortage Pause,82,Battery
Line C,3,3/1/2025,Night,115,101,87.8,1,47,176,124,0,Active,0,Headlight Bulb
Line D,1,3/1/2025,Morning,104,0,0,0,47,161,0,2.3,Shortage Pause,103,Windshield Wiper
Line D,2,3/1/2025,Morning,74,68,91.9,3,42,189,136,0.3,Active,0,Engine Oil Filter
Line D,3,3/1/2025,Night,81,75,92.6,0,36,171,114,0,Active,0,Air Filter
Line A,1,3/2/2025,Morning,119,108,90.8,0,21,191,136,0,Active,0,Engine Oil Filter
Line A,2,3/2/2025,Morning,161,142,88.2,2,25,167,145,0,Active,0,Air Filter
Line A,3,3/2/2025,Night,85,85,100,0,29,150,109,0,Active,0,Spark Plug Set
Line B,1,3/2/2025,Morning,94,74,78.7,2,40,232,74,1.3,Shortage Pause,32,Brake Pad Set
Line B,2,3/2/2025,Night,109,116,106.4,0,49,208,159,0,Active,0,Brake Disc
Line B,3,3/2/2025,Night,90,87,96.7,0,36,157,104,0,Active,0,Shock Absorber
Line C,1,3/2/2025,Morning,139,107,77,6,28,185,107,1.2,Shortage Pause,41,Timing Belt
Line C,2,3/2/2025,Morning,7,0,0,0,20,199,0,1.5,Paused,0,Battery
Line C,3,3/2/2025,Night,108,23,21.3,0,47,176,23,2.1,Shortage Pause,91,Headlight Bulb
Line D,1,3/2/2025,Morning,10,0,0,0,47,161,79,0.8,Paused,0,Windshield Wiper
Line D,2,3/2/2025,Night,95,68,71.6,3,42,189,68,0.7,Shortage Pause,16,Engine Oil Filter
Line D,3,3/2/2025,Morning,76,39,51.3,0,36,171,39,1.2,Shortage Pause,40,Air Filter
Line A,1,3/3/2025,Morning,12,0,0,0,21,191,28,1.5,Paused,0,Engine Oil Filter
Line A,2,3/3/2025,Morning,160,144,90,1,25,167,144,0.7,Shortage Pause,32,Air Filter
Line A,3,3/3/2025,Night,94,24,25.5,2,29,150,24,3.6,Shortage Pause,67,Spark Plug Set
Line B,1,3/3/2025,Night,94,88,93.6,0,40,232,176,0,Active,0,Brake Pad Set
Line B,2,3/3/2025,Morning,103,118,114.6,0,49,208,180,0,Active,0,Brake Disc
Line B,3,3/3/2025,Night,88,82,93.2,0,36,157,136,0,Active,0,Shock Absorber
Line C,1,3/3/2025,Night,122,126,103.3,1,28,185,132,0,Active,0,Timing Belt
Line C,2,3/3/2025,Night,89,76,85.4,0,20,199,160,0,Active,0,Battery
Line C,3,3/3/2025,Night,102,77,75.5,3,47,176,116,0,Active,0,Headlight Bulb
Line D,1,3/3/2025,Night,110,79,71.8,3,47,161,79,1.3,Shortage Pause,42,Windshield Wiper
Line D,2,3/3/2025,Night,101,0,0,0,42,189,0,2.2,Shortage Pause,90,Engine Oil Filter
Line D,3,3/3/2025,Morning,78,65,83.3,1,36,171,83,0,Active,0,Air Filter
Line A,1,3/4/2025,Morning,107,28,26.2,0,21,191,28,2.3,Shortage Pause,77,Engine Oil Filter
Line A,2,3/4/2025,Morning,144,99,68.8,9,25,167,99,2,Shortage Pause,53,Air Filter
Line A,3,3/4/2025,Morning,90,81,90,1,29,150,89,0,Active,0,Spark Plug Set
Line B,1,3/4/2025,Morning,100,88,88,1,40,232,88,0.6,Shortage Pause,16,Brake Pad Set
Line B,2,3/4/2025,Morning,115,62,53.9,2,49,208,62,0.9,Shortage Pause,39,Brake Disc
Line B,3,3/4/2025,Night,75,54,72,2,36,157,54,1.7,Shortage Pause,29,Shock Absorber
Line C,1,3/4/2025,Morning,128,6,4.7,0,28,185,6,3.6,Shortage Pause,123,Timing Belt
Line C,2,3/4/2025,Morning,82,81,98.8,0,20,199,84,0,Active,0,Battery
Line C,3,3/4/2025,Night,113,106,93.8,2,47,176,139,0,Active,0,Headlight Bulb
Line D,1,3/4/2025,Night,81,77,95.1,1,47,161,101,0,Active,0,Windshield Wiper
Line D,2,3/4/2025,Night,97,95,97.9,1,42,189,117,0,Active,0,Engine Oil Filter
Line D,3,3/4/2025,Morning,74,18,24.3,0,36,171,18,4.1,Shortage Pause,63,Air Filter
Line A,1,3/5/2025,Night,125,124,99.2,0,21,191,136,0,Active,0,Engine Oil Filter
Line A,2,3/5/2025,Night,134,131,97.8,0,25,167,151,0.3,Active,0,Air Filter
Line A,3,3/5/2025,Night,9,0,0,0,29,150,123,1.7,Paused,0,Spark Plug Set
Line B,1,3/5/2025,Morning,105,0,0,0,40,232,0,5.5,Shortage Pause,113,Brake Pad Set
Line B,2,3/5/2025,Morning,108,101,93.5,1,49,208,163,0,Active,0,Brake Disc
Line B,3,3/5/2025,Morning,74,74,100,0,36,157,117,0.4,Active,0,Shock Absorber
Line C,1,3/5/2025,Night,132,117,88.6,0,28,185,160,0.4,Active,0,Timing Belt
Line C,2,3/5/2025,Night,85,3,3.5,0,20,199,3,2.9,Shortage Pause,83,Battery
Line C,3,3/5/2025,Morning,95,33,34.7,1,47,176,33,3.4,Shortage Pause,55,Headlight Bulb
Line D,1,3/5/2025,Night,96,108,112.5,1,47,161,140,0,Active,0,Windshield Wiper
Line D,2,3/5/2025,Night,83,93,112,1,42,189,133,0,Active,0,Engine Oil Filter
Line D,3,3/5/2025,Night,83,0,0,0,36,171,0,5.8,Shortage Pause,95,Air Filter
Line A,1,3/6/2025,Night,127,114,89.8,1,21,191,131,0,Active,0,Engine Oil Filter
Line A,2,3/6/2025,Morning,148,20,13.5,0,25,167,20,4.7,Shortage Pause,105,Air Filter
Line A,3,3/6/2025,Night,101,117,115.8,0,29,150,123,0,Active,0,Spark Plug Set
Line B,1,3/6/2025,Morning,106,114,107.5,0,40,232,157,0,Active,0,Brake Pad Set
Line B,2,3/6/2025,Night,124,62,50,3,49,208,62,2.2,Shortage Pause,53,Brake Disc
Line B,3,3/6/2025,Night,88,43,48.9,3,36,157,43,1.7,Shortage Pause,40,Shock Absorber
Line C,1,3/6/2025,Morning,138,43,31.2,4,28,185,43,2.8,Shortage Pause,111,Timing Belt
Line C,2,3/6/2025,Night,95,85,89.5,2,20,199,107,0,Active,0,Battery
Line C,3,3/6/2025,Morning,110,0,0,0,47,176,0,3.1,Shortage Pause,104,Headlight Bulb
Line D,1,3/6/2025,Morning,110,96,87.3,3,47,161,108,0,Active,0,Windshield Wiper
Line D,2,3/6/2025,Morning,82,89,108.5,1,42,189,184,0,Active,0,Engine Oil Filter
Line D,3,3/6/2025,Night,79,71,89.9,1,36,171,100,0,Active,0,Air Filter
Line A,1,3/7/2025,Morning,12,0,0,0,21,191,163,1,Paused,0,Engine Oil Filter
Line A,2,3/7/2025,Night,183,102,55.7,3,25,167,102,1.6,Shortage Pause,85,Air Filter
Line A,3,3/7/2025,Morning,103,80,77.7,5,29,150,80,0.3,Shortage Pause,7,Spark Plug Set
Line B,1,3/7/2025,Night,104,43,41.3,1,40,232,43,1.5,Shortage Pause,57,Brake Pad Set
Line B,2,3/7/2025,Morning,106,0,0,0,49,208,0,2.1,Shortage Pause,106,Brake Disc
Line B,3,3/7/2025,Night,69,58,84.1,0,36,157,115,0,Active,0,Shock Absorber
Line C,1,3/7/2025,Morning,115,97,84.3,0,28,185,97,0.9,Shortage Pause,27,Timing Belt
Line C,2,3/7/2025,Night,110,22,20,0,20,199,22,2,Shortage Pause,95,Battery
Line C,3,3/7/2025,Morning,111,103,92.8,1,47,176,103,0.5,Shortage Pause,10,Headlight Bulb
Line D,1,3/7/2025,Night,98,91,92.9,1,47,161,91,0.5,Shortage Pause,12,Windshield Wiper
Line D,2,3/7/2025,Morning,81,75,92.6,1,42,189,95,0,Active,0,Engine Oil Filter
Line D,3,3/7/2025,Morning,80,29,36.2,1,36,171,29,1.4,Shortage Pause,52,Air Filter
Line A,1,3/8/2025,Morning,132,128,97,2,21,191,163,0,Active,0,Engine Oil Filter
Line A,2,3/8/2025,Night,148,125,84.5,2,25,167,125,0.6,Shortage Pause,18,Air Filter
Line A,3,3/8/2025,Night,88,76,86.4,0,29,150,93,0,Active,0,Spark Plug Set
Line B,1,3/8/2025,Morning,89,98,110.1,1,40,232,168,0,Active,0,Brake Pad Set
Line B,2,3/8/2025,Morning,8,0,0,0,49,208,0,0.8,Paused,0,Brake Disc
Line B,3,3/8/2025,Night,90,57,63.3,1,36,157,57,1,Shortage Pause,44,Shock Absorber
Line C,1,3/8/2025,Morning,133,0,0,0,28,185,0,3.8,Shortage Pause,129,Timing Belt
Line C,2,3/8/2025,Morning,92,89,96.7,1,20,199,147,0,Active,0,Battery
Line C,3,3/8/2025,Morning,124,118,95.2,1,47,176,118,0.8,Shortage Pause,19,Headlight Bulb
Line D,1,3/8/2025,Morning,96,97,101,0,47,161,111,0,Active,0,Windshield Wiper
Line D,2,3/8/2025,Night,86,81,94.2,2,42,189,164,0,Active,0,Engine Oil Filter
Line D,3,3/8/2025,Morning,60,55,91.7,0,36,171,89,0.3,Active,0,Air Filter
Line A,1,3/9/2025,Morning,109,35,32.1,2,21,191,35,2.4,Shortage Pause,72,Engine Oil Filter
Line A,2,3/9/2025,Morning,111,0,0,0,25,167,0,3.2,Shortage Pause,120,Air Filter
Line A,3,3/9/2025,Night,101,97,96,2,29,150,97,0.5,Shortage Pause,14,Spark Plug Set
Line B,1,3/9/2025,Morning,85,70,82.4,0,40,232,70,0.7,Shortage Pause,10,Brake Pad Set
Line B,2,3/9/2025,Night,119,112,94.1,1,49,208,112,0.5,Shortage Pause,12,Brake Disc
Line B,3,3/9/2025,Morning,81,78,96.3,0,36,157,103,0,Active,0,Shock Absorber
Line C,1,3/9/2025,Morning,142,106,74.6,3,28,185,106,1.6,Shortage Pause,43,Timing Belt
Line C,2,3/9/2025,Morning,81,58,71.6,2,20,199,58,0.7,Shortage Pause,9,Battery
Line C,3,3/9/2025,Morning,122,113,92.6,1,47,176,113,0.7,Shortage Pause,25,Headlight Bulb
Line D,1,3/9/2025,Night,106,91,85.8,1,47,161,139,0.3,Active,0,Windshield Wiper
Line D,2,3/9/2025,Night,76,76,100,0,42,189,83,0,Active,0,Engine Oil Filter
Line D,3,3/9/2025,Night,66,61,92.4,0,36,171,150,0,Active,0,Air Filter
Line A,1,3/10/2025,Morning,122,113,92.6,1,21,191,166,0,Active,0,Engine Oil Filter
Line A,2,3/10/2025,Morning,171,0,0,0,25,167,0,2.4,Shortage Pause,192,Air Filter
Line A,3,3/10/2025,Night,81,81,100,0,29,150,125,0,Active,0,Spark Plug Set
Line B,1,3/10/2025,Night,119,0,0,0,40,232,0,3.1,Shortage Pause,120,Brake Pad Set
Line B,2,3/10/2025,Morning,107,0,0,0,49,208,0,2.4,Shortage Pause,114,Brake Disc
Line B,3,3/10/2025,Morning,81,82,101.2,1,36,157,151,0,Active,0,Shock Absorber
